MagX, MagY, MagZ, AccX, AccY, AccZ, GyroR, GyroP, GyroY
281,-342,473,16,-134,329,-511,-536,-529
282,-338,471,13,-139,329,-511,-536,-530
284,-340,474,11,-141,328,-513,-535,-530
285,-338,472,11,-144,324,-514,-534,-530
0,0,0,0,0,0,0,0,0
0,-338,472,11,-144,324,-514,-534,-530
285,0,472,11,-144,324,-514,-534,-530
285,-338,0,11,-144,324,-514,-534,-530
285,-338,472,0,-144,324,-514,-534,-530
285,-338,472,11,0,324,-514,-534,-530
285,-338,472,11,-144,0,-514,-534,-530
285,-338,472,11,-144,324,0,-534,-530
285,-338,472,11,-144,324,-514,0,-530
285,-338,472,11,-144,324,-514,-534,0
-285,-338,472,11,-144,324,-514,-534,-530
285,338,472,11,-144,324,-514,-534,0
285,-338,-472,11,-144,324,-514,-534,0
285,-338,472,-11,-144,324,-514,-534,0
285,-338,472,11,144,324,-514,-534,0
285,-338,472,11,-144,-324,-514,-534,0
285,-338,472,11,-144,324,514,-534,0
285,-338,472,11,-144,324,-514,534,0
-285,-338,472,11,-144,324,-514,534,0
285,338,472,11,-144,324,514,-534,0
285,-338,-472,11,-144,-324,-514,-534,0
