63,84.9,0.04,0,0,5.14,230,12.97,170,16.11,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
37.9,73.9,0,0,0,1.79,140,8.95,170,14.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.9,66,0,0,0,5.37,20,14.99,20,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,55,0,0,0,3.8,40,12.97,20,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,61,0,0,0,4.25,210,12.08,230,14.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,51.1,0,0,0,6.26,290,17,320,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,61,0,0,0,3.13,10,8.95,40,12.97,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46.9,78.1,0,0,0,7.61,230,21.03,220,25.05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,48.9,0.06,0,0,3.13,90,10.07,100,14.99,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,63,0,0,0,3.36,260,12.08,230,14.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.1,54,0,0,0,5.82,230,14.99,220,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,45,0,0,0,5.82,270,16.11,280,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,75.9,0.01,0,0,9.17,220,23.94,230,29.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,44.1,0,0,0,6.26,270,14.99,280,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.9,66.9,0.16,0,0,10.74,220,25.05,220,29.97,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,57.9,0,0,0,3.58,220,14.09,220,16.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.9,35.1,0,0,0,4.47,330,12.08,310,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,73,0,0,0,8.5,210,16.11,210,21.03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.9,68,0,0,0,13.42,220,29.97,220,38.03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,39,0,0,0,3.8,340,14.09,340,21.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,64,0,0,0,13.42,220,23.94,230,27.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,60.1,0.83,0,0,8.5,330,25.95,210,35.12,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
61,77,0,0,0,19.01,220,33.11,230,40.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,66,0,0,0,8.05,230,25.95,240,31.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,46.9,0,0,0,4.92,20,12.08,320,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,62.1,0.28,0,0,6.04,240,27.96,240,34.9,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,73,0.29,0,0,14.54,230,31.09,240,36.91,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30.9,55,0,0,0,8.72,250,23.04,220,31.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1,61,0.01,0,0,4.25,240,12.08,240,14.99,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
21.9,43,0,0,0,5.82,260,17,260,21.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.9,64.9,0,0,0,9.84,270,21.92,270,29.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.1,68,0,0,0,5.14,280,17,260,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
